Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
Nights of Azure,PS4,Tecmo Koei,Gust,180000,6.7,7.2,2016
Nights of Azure,PS4,Tecmo Koei,Gust,180000,6.7,7.2,2016
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Tecmo Koei,Gust,150000,7.5,7.6,2016
Mark McMorris Infinite Air,PS4,Maximum Games,HB Studios,60000,5,7.1,2016
Mafia III,XOne,2K Games,Hangar 13,620000,6.8,4.8,2016
Mafia III,PS4,2K Games,Hangar 13,2870000,6.9,5.2,2016
No Man's Sky,PS4,Hello Games,Hello Games,2260000,6.8,4.6,2016
Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,8480000,7.7,3.8,2016
Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,2420000,7.8,3.6,2016
Song of the Deep,XOne,Insomniac Games,Insomniac Games,60000,6.6,7.1,2016
Song of the Deep,PS4,Insomniac Games,Insomniac Games,150000,6.9,7.1,2016
Prison Architect,XOne,Introversion Software,Introversion Software,10000,7.5,6.8,2016
Prison Architect,PS4,Introversion Software,Introversion Software,50000,8,7.1,2016
The Dwarves,XOne,THQ Nordic,KING Art Games,,5.8,3.9,2016
The Dwarves,PS4,THQ Nordic,KING Art Games,30000,6,6.1,2016
Root Letter,PS4,PQube,Kadokawa Games,30000,6.8,6.8,2016
Darksiders: Warmastered Edition,XOne,THQ Nordic,Kaiko,10000,8,8,2016
Darksiders: Warmastered Edition,PS4,THQ Nordic,Kaiko,110000,8.1,7.6,2016
Arslan: The Warriors of Legend,PS4,Tecmo Koei,Koei Tecmo Games,140000,6.9,6.5,2016
Nobunaga's Ambition: Sphere of Influence - Ascension,PS4,Tecmo Koei,Koei Tecmo Games,90000,7.4,6.7,2016
Romance of the Three Kingdoms XIII,PS4,Tecmo Koei,Koei Tecmo Games,100000,6.7,7.1,2016
Assetto Corsa,PS4,505 Games,Kunos Simulazioni,80000,7.3,6.1,2016
Assetto Corsa,XOne,505 Games,Kunos Simulazioni,20000,6,6.6,2016
Skullgirls: 2nd Encore,PS4,Arc System Works,Lab Zero Games,20000,8.2,7.4,2016
Aragami,PS4,Maximum Games,Lince Works,40000,7.1,7.1,2016
Senran Kagura: Estival Versus,PS4,Xseed Games,Marvelous Entertainment,180000,6.7,7.6,2016
Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,4370000,8,7,2016
Tom Clancy's The Division,XOne,Ubisoft,Massive Entertainment,2160000,8,6.9,2016
Ziggurat,PS4,Soedesco,Milkstone Studios,10000,8,7,2016
Grand Kingdom,PS4,NIS America,Monochrome Corporation,140000,7.8,7.5,2016
NASCAR Heat Evolution,PS4,Dusenberry Martin Racing,Monster Games,150000,6.6,4.4,2016
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,Namco Bandai Games,Namco Bandai Games,40000,6.1,7.2,2016
God Eater Resurrection,PS4,Namco Bandai Games,Namco Bandai Games,90000,7,7.2,2016
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Naughty Dog,10330000,9.2,8.4,2016
Attack on Titan,XOne,Tecmo Koei,Omega Force,,7.7,6.4,2016
Pro Evolution Soccer 2017,PS4,Konami Digital Entertainment,PES Productions,750000,8.5,7.3,2016
Pro Evolution Soccer 2017,XOne,Konami Digital Entertainment,PES Productions,50000,8.7,5.8,2016
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Activision,PlatinumGames,120000,4.4,5.5,2016
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,Activision,PlatinumGames,40000,5.5,6,2016
Forza Horizon 3,XOne,Microsoft Studios,Playground Games,1080000,9,8,2016
Rocket League,XOne,505 Games,Psyonix Studios,240000,8,8.2,2016
Rocket League,PS4,505 Games,Psyonix Studios,2020000,8.7,8.5,2016
Super Dungeon Bros,PS4,Wired Productions,React Games,30000,4.3,1.9,2016
Dungeons 2,PS4,Kalypso Media,Realmforge Studios,20000,6.1,6.9,2016
Battlezone,PS4,Sony Interactive Entertainment,Rebellion Developments,160000,6.6,7.1,2016
Hyper Light Drifter,PS4,Rebellion Games,Rebellion Games,10000,8,7.7,2016
Quantum Break,XOne,Microsoft Studios,Remedy Entertainment,560000,7.7,7.1,2016
Titanfall 2,XOne,Electronic Arts,Respawn Entertainment,570000,8.7,8.3,2016
Titanfall 2,PS4,Electronic Arts,Respawn Entertainment,1720000,8.9,8.4,2016
Batman: Arkham VR,PS4,Warner Bros. Interactive Entertainment,Rocksteady Studios,390000,7.4,7.2,2016
Batman: Return to Arkham,PS4,Warner Bros. Interactive Entertainment,Rocksteady Studios,640000,7.3,8.1,2016
The Last Guardian,PS4,Sony Interactive Entertainment,SIE Japan Studio,1290000,7.9,8,2016
The King of Fighters XIV,PS4,Atlus,SNK Playmore,340000,7.9,8.2,2016
Valkyria Chronicles Remastered,PS4,Sega,Sega,330000,8.4,8.2,2016
Hatsune Miku: Project Diva X,PS4,Sega,Sega,130000,7.8,7.3,2016
The Technomancer,XOne,Focus Home Interactive,Spiders,30000,6.8,7.3,2016
The Technomancer,PS4,Focus Home Interactive,Spiders,90000,6,6.7,2016
One Piece: Burning Blood,PS4,Namco Bandai Games,Spike Chunsoft,650000,6.6,7.3,2016
One Piece: Burning Blood,XOne,Namco Bandai Games,Spike Chunsoft,60000,6,6.4,2016
World of Final Fantasy,PS4,Square Enix,Square Enix,620000,7.7,7.7,2016
Final Fantasy XV,PS4,Square Enix,Square Enix,5070000,8.1,9.5,2016
Final Fantasy XV,XOne,Square Enix,Square Enix,,8.3,7.7,2016
Carmageddon: Max Damage,PS4,Stainless Games,Stainless Games,20000,5.1,5.9,2016
Until Dawn: Rush of Blood,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,850000,7.2,7.7,2016
Here They Lie,PS4,Sony Interactive Entertainment,Tangentlemen,40000,6.2,6.8,2016
Super Meat Boy,PS4,Team Meat,Team Meat,10000,8.5,7,2016
Dead or Alive Xtreme 3: Fortune,PS4,Tecmo Koei,Team Ninja,60000,4.3,7.4,2016
Dying Light,XOne,Warner Bros. Interactive Entertainment,Techland,1290000,7.4,7.8,2016
Gears of War 4,XOne,Microsoft Studios,The Coalition,1350000,8.4,6.9,2016
Dino Dini's Kick Off Revival,PS4,Avanquest,The Digital Lounge,30000,3.1,4.6,2016
7 Days to Die,PS4,Telltale Games,The Fun Pimps,210000,4.5,5.8,2016
7 Days to Die,XOne,Telltale Games,The Fun Pimps,50000,3.5,5.4,2016
Skylanders Imaginators,PS4,Activision,Toys for Bob,430000,7.9,5.3,2016
Skylanders Imaginators,XOne,Activision,Toys for Bob,100000,7.8,5.2,2016
LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1010000,7.1,7.1,2016
LEGO Marvel's Avengers,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,350000,7.1,5.3,2016
LEGO Harry Potter Collection,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,880000,7.3,7.3,2016
Lumo,PS4,Rising Star Games,Triple Eh?,40000,7.3,5.9,2016
Killing Floor 2,PS4,Tripwire Interactive,Tripwire Interactive,270000,7.5,7.3,2016
Watch Dogs 2,XOne,Ubisoft,Ubisoft,360000,8.1,7.3,2016
Eagle Flight,PS4,Ubisoft,Ubisoft,200000,7.3,6.9,2016
Watch Dogs 2,PS4,Ubisoft,Ubisoft,3360000,8.2,7.7,2016
Werewolves Within,PS4,Ubisoft,Ubisoft,50000,7.6,7.1,2016
Steep,XOne,Ubisoft,Ubisoft Annecy,,7.2,6.4,2016
Steep,PS4,Ubisoft,Ubisoft Annecy,1010000,7.1,6.4,2016
Zombi,XOne,Ubisoft,Ubisoft Montpellier,,7.2,6.3,2016
Just Dance 2017,XOne,Ubisoft,Ubisoft Paris,40000,7.3,6.6,2016
Just Dance 2017,PS4,Ubisoft,Ubisoft Paris,240000,7.3,6.7,2016
Earth's Dawn,PS4,Rising Star Games,Unknown,20000,6.8,6.7,2016
NBA 2K17,XOne,2K Sports,Visual Concepts,1020000,8.8,6,2016
NBA 2K17,PS4,2K Sports,Visual Concepts,3520000,9,6.4,2016
Shantae: Half-Genie Hero,PS4,Xseed Games,Way Forward Technologies,80000,8.1,7.6,2016
WWE 2K17,PS4,2K Games,Yuke's,1220000,6.9,6.1,2016
WWE 2K17,XOne,2K Games,Yuke's,260000,6.8,4.9,2016
Zombie Vikings,PS4,Rising Star Games,Zoink Games,10000,6.4,7,2016
Super Stardust Ultra VR,PS4,Sony Interactive Entertainment,d3t Ltd,20000,6.6,6.4,2016
Assault Suit Leynos,PS4,Rising Star Games,"extreme Co.,Ltd.",50000,6.7,6.7,2016
Exist Archive: The Other Side of the Sky,PS4,Aksys Games,tri-Ace,60000,6.9,7,2016
Baja: Edge of Control HD,PS4,THQ Nordic,2XL Games,30000,6.5,5.9,2017
Chaos;Child,PS4,PQube,5pb. Inc.,20000,7.6,7.8,2017
Little Witch Academia: Chamber of Time,PS4,Bandai Namco Entertainment,A+ Games,10000,5.8,6.4,2017
Touhou Genso Wanderer,PS4,NIS America,AQUA STYLE,50000,7,6.7,2017
Akiba's Beat,PS4,Xseed Games,Acquire,80000,5.5,6.7,2017
Battle Chasers: Nightwar,PS4,THQ Nordic,Airship Syndicate,60000,7.5,6.5,2017
Battle Chasers: Nightwar,XOne,THQ Nordic,Airship Syndicate,,8.4,6.6,2017
Utawarerumono: Mask of Deception,PS4,Atlus,Aqua Plus,130000,6.8,7.2,2017
Utawarerumono: Mask of Truth,PS4,Atlus,Aqua Plus,130000,7.5,7.6,2017
Birthdays the Beginning,PS4,NIS America,Arc System Works,60000,6.5,6.5,2017
Dishonored: Death of the Outsider,XOne,Bethesda Softworks,Arkane Studios,,8.4,6.7,2017
Dishonored: Death of the Outsider,PS4,Bethesda Softworks,Arkane Studios,330000,8.2,7,2017
Disneyland Adventures,XOne,Microsoft Studios,Asobo Studio,,6.7,6.9,2017
Persona 5,PS4,Atlus,Atlus,1640000,9.3,8.7,2017
Cars 3: Driven to Win,XOne,Warner Bros. Interactive Entertainment,Avalanche Software,,5.9,7,2017
Cars 3: Driven to Win,PS4,Warner Bros. Interactive Entertainment,Avalanche Software,290000,7.2,5.9,2017
Digimon World: Next Order,PS4,Namco Bandai Games,Bandai Namco Games,240000,6.8,6.4,2017
Dead by Daylight,XOne,505 Games,Behaviour Interactive Inc.,,5.8,6.2,2017
Dead by Daylight,PS4,505 Games,Behaviour Interactive Inc.,220000,6.4,6.1,2017
The Elder Scrolls V: Skyrim VR,PS4,Bethesda Softworks,Bethesda Softworks,1130000,7.7,8.1,2017
Outcast: Second Contact,PS4,Maximum Games,Bigben Interactive,60000,6.1,7.2,2017
Mass Effect: Andromeda,XOne,Electronic Arts,BioWare Corp.,,7.6,4.9,2017
Mass Effect: Andromeda,PS4,Electronic Arts,BioWare Corp.,1490000,7.1,4.9,2017
Bubsy: The Woolies Strike Back,PS4,Accolade,Black Forest Games,50000,4.5,5.8,2017
Destiny 2,PS4,Activision,Bungie,4140000,8.5,4.9,2017
Destiny 2,XOne,Activision,Bungie,,8.7,4.2,2017
Touhou Kobuto V: Burst Battle,PS4,NIS America,CUBETYPE,30000,4.2,3,2017
Marvel vs. Capcom: Infinite,PS4,Capcom,Capcom,700000,7.2,4.5,2017
Marvel vs. Capcom: Infinite,XOne,Capcom,Capcom,,7.7,5,2017
Mega Man Legacy Collection 2,PS4,Capcom,Capcom,100000,7.1,7.2,2017
Dragon's Dogma: Dark Arisen,XOne,Capcom,Capcom,,8,8.3,2017
Ultimate Marvel vs. Capcom 3,PS4,Capcom,Capcom,260000,7.7,7.2,2017
Resident Evil: Revelations,PS4,Capcom,Capcom,180000,7.2,7.2,2017
Dragon's Dogma: Dark Arisen,PS4,Capcom,Capcom,210000,7.8,8.2,2017
Dead Rising 4: Frank's Big Package,PS4,Capcom,Capcom,160000,7.2,5.3,2017
Zero Escape: Zero Time Dilemma,PS4,Rising Star Games,Chime,30000,8,6.8,2017
Sniper: Ghost Warrior 3,XOne,City Interactive,City Interactive,,5.7,6.3,2017
Sniper: Ghost Warrior 3,PS4,City Interactive,City Interactive,360000,5.5,6.4,2017
Everybody's Golf,PS4,Sony Interactive Entertainment,Clap Hanz,560000,8.1,7.8,2017
Okami HD,PS4,Capcom,Clover Studio,360000,8.7,8,2017
Okami HD,XOne,Capcom,Clover Studio,,8.7,8.2,2017
DiRT 4,XOne,Deep Silver,Codemasters,,8.6,6.7,2017
F1 2017,PS4,Deep Silver,Codemasters,620000,8.6,7.6,2017
F1 2017,XOne,Deep Silver,Codemasters,,8.4,7.2,2017
DiRT 4,PS4,Deep Silver,Codemasters,490000,8.5,7.5,2017
F1 2016,PS4,Codemasters,Codemasters,780000,8.2,7.9,2017
Dark Rose Valkyrie,PS4,Idea Factory International,Compile Heart,90000,5.8,6.4,2017
Cyberdimension Neptunia: 4 Goddesses Online,PS4,Idea Factory International,Compile Heart,140000,7.1,7.2,2017
Stardew Valley,PS4,505 Games,ConcernedApe,100000,8.8,7.6,2017
Stardew Valley,XOne,505 Games,ConcernedApe,,8.8,7.7,2017
Halo Wars 2,XOne,Microsoft Studios,Creative Assembly,,7.9,6,2017
Styx: Shards of Darkness,PS4,Focus Home Interactive,Cyanide Studio,70000,7.2,7.1,2017
Space Hulk: Deathwing,PS4,Focus Home Interactive,Cyanide Studio,20000,5.5,7.5,2017
Styx: Shards of Darkness,XOne,Focus Home Interactive,Cyanide Studio,,7.2,7.5,2017
.hack//G.U. Last Recode,PS4,Namco Bandai Games,CyberConnect2,240000,7.6,7.9,2017
The Surge,XOne,Focus Home Interactive,DECK13 Interactive,,7.4,7.3,2017
The Surge,PS4,Focus Home Interactive,DECK13 Interactive,190000,7.3,6.8,2017
Sine Mora EX,PS4,THQ Nordic,Digital Reality,60000,8.1,7.6,2017
Hello Neighbor,XOne,Gearbox Software,Dynamic Pixels,,4.2,4.3,2017
NHL 18,PS4,EA Sports,EA Canada,570000,7.5,3.5,2017
NHL 18,XOne,EA Sports,EA Canada,,7.7,3.8,2017
NBA Live 18,PS4,EA Sports,EA Sports,240000,7.2,6,2017
NBA Live 18,XOne,EA Sports,EA Sports,,7.2,5.3,2017
Madden NFL 18,PS4,EA Sports,EA Tiburon,2620000,8.2,3.7,2017
Madden NFL 18,XOne,EA Sports,EA Tiburon,,8.8,4.5,2017
FIFA 18,PS4,EA Sports,EA Vancouver,11800000,8.3,3.4,2017
FIFA 18,XOne,EA Sports,EA Vancouver,,8,3,2017
Rugby 18,PS4,Koch Media,EKO Software,60000,4.1,4.7,2017
Fortnite,PS4,Gearbox Software,Epic Games,890000,7.8,3.9,2017
Elite: Dangerous,XOne,Frontier Developments,Frontier Developments,,8,7.2,2017
Elite: Dangerous,PS4,Frontier Developments,Frontier Developments,190000,7.7,7.1,2017
Has-Been Heroes,PS4,GameTrust,Frozenbyte,70000,6.1,6.5,2017
Vikings: Wolves of Midgard,XOne,Kalypso Media,Games Farm,,6.4,7.3,2017
Vikings: Wolves of Midgard,PS4,Kalypso Media,Games Farm,40000,6.7,6.6,2017
ABZU,PS4,505 Games,Giant Squid Studios,40000,7.8,7.6,2017
The Silver Case,PS4,NIS America,Grasshopper Manufacture,70000,6.4,6.2,2017
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,5820000,9.1,8,2017
Atelier Firis: The Alchemist and the Mysterious Journey,PS4,Tecmo Koei,Gust,80000,7.4,7,2017
Hitman,PS4,Square Enix,IO Interactive,780000,8.4,7.9,2017
Friday the 13th: The Game,PS4,Gun Media,IllFonic,480000,6.1,6.2,2017
Dead Alliance,XOne,Maximum Games,IllFonic,,4.3,3.4,2017
Friday the 13th: The Game,XOne,Gun Media,IllFonic,,5.3,5.5,2017
Farpoint,PS4,Sony Interactive Entertainment,Impulse Gear,480000,7.1,8.1,2017
Torment: Tides of Numenera,XOne,Techland,InXile Entertainment,,7.9,6.8,2017
Torment: Tides of Numenera,PS4,Techland,InXile Entertainment,10000,7.6,6.8,2017
Call of Duty: Modern Warfare Remastered,PS4,Activision,Infinity Ward,580000,8.3,6.9,2017
Black Mirror,PS4,THQ Nordic,KING Art Games,50000,5.4,5.4,2017
Black Mirror,XOne,THQ Nordic,KING Art Games,,5.7,2.9,2017
God Wars: Future Past,PS4,NIS America,Kadokawa Games,70000,7.4,7.1,2017
Portal Knights,XOne,505 Games,Keen Games,,7.7,6.2,2017
Portal Knights,PS4,505 Games,Keen Games,120000,7.1,6.5,2017
Sudden Strike 4,PS4,Kalypso Media,Kite Games,100000,6.3,7.2,2017
Pro Evolution Soccer 2018,XOne,Konami Digital Entertainment,Konami Digital Entertainment,,8.2,6.4,2017
Pro Evolution Soccer 2018,PS4,Konami Digital Entertainment,Konami Digital Entertainment,750000,8.3,7.2,2017
WRC 7,XOne,Bigben Interactive,Kylotonn Entertainment,,7,7.7,2017
FlatOut 4: Total Insanity,PS4,Unfinished Pixel,Kylotonn Entertainment,20000,6.2,6.6,2017
WRC 7,PS4,Bigben Interactive,Kylotonn Entertainment,70000,7,7.2,2017
FlatOut 4: Total Insanity,XOne,Strategy First,Kylotonn Entertainment,,6.6,6.3,2017
The Town of Light,XOne,THQ Nordic,LKA,,6,6.9,2017
The Town of Light,PS4,Wired Productions,LKA,30000,6.7,6.1,2017
Raid: World War II,XOne,505 Games,Lion Game Lion,,4.6,6.1,2017
Raid: World War II,PS4,505 Games,Lion Game Lion,40000,4.6,3.5,2017
Wolfenstein II: The New Colossus,PS4,Bethesda Softworks,MachineGames,1360000,9,7.5,2017
Wolfenstein II: The New Colossus,XOne,Bethesda Softworks,MachineGames,,8.8,6.2,2017
Fate/Extella: The Umbral Star,PS4,Xseed Games,Marvelous Entertainment,270000,6.7,7,2017
Senran Kagura: Peach Beach Splash,PS4,Xseed Games,Marvelous Entertainment,210000,7,7.1,2017
The Sims 4,PS4,Electronic Arts,Maxis,1390000,6.6,3.7,2017
The Sims 4,XOne,Electronic Arts,Maxis,,6.6,2.8,2017
Valkyria Revolution,PS4,Sega,Media.Vision,160000,5.4,5.9,2017
Valkyria Revolution,XOne,Sega,Media.Vision,,5.6,5.6,2017
Summon Night 6: Lost Borders,PS4,Gaijinworks,Media.Vision,90000,7.1,6.7,2017
Moto Racer 4,PS4,Microids,Microids,10000,4.9,5.4,2017
Ride 2,PS4,Milestone S.r.l,Milestone S.r.l.,160000,6.9,6.3,2017
Ride 2,XOne,Milestone S.r.l,Milestone S.r.l.,10000,6.6,7.4,2017
MotoGP 17,PS4,Koch Media,Milestone S.r.l.,140000,6.8,3.4,2017
Shadow Tactics: Blades of the Shogun,PS4,Kalypso Media,Mimimi Productions,40000,8.5,7.9,2017
NASCAR Heat 2,PS4,704Games,Monster Games,130000,6.6,6.2,2017
Aven Colony,XOne,Sold Out,Mothership Entertainment,,7.7,7.2,2017
Aven Colony,PS4,Sold Out,Mothership Entertainment,60000,7.3,6.9,2017
Tekken 7,XOne,Namco Bandai Games,Namco Bandai Games,,8.1,6.3,2017
Gundam Versus,PS4,Namco Bandai Games,Namco Bandai Games,280000,7.3,6.4,2017
Tekken 7,PS4,Namco Bandai Games,Namco Bandai Games,1700000,8.2,6.8,2017
Accel World vs. Sword Art Online: Millennium Twilight,PS4,Namco Bandai Games,Namco Bandai Games,100000,6.4,6.1,2017
Tales of Berseria,PS4,Namco Bandai Games,Namco Bandai Games,650000,7.9,7,2017
Uncharted: The Lost Legacy,PS4,Sony Interactive Entertainment,Naughty Dog,2370000,8.4,7.7,2017
Injustice 2,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios,,8.9,8.2,2017
Injustice 2,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,1720000,8.7,8.1,2017
Redout,XOne,505 Games,Nicalis,,7.6,8.2,2017
Redout,PS4,505 Games,Nicalis,20000,8.1,7.4,2017
Tokyo Xanadu eX+,PS4,Aksys Games,Nihon Falcom Corporation,100000,7.5,7.4,2017
Yomawari: Midnight Shadows,PS4,NIS America,Nippon Ichi Software,60000,7.7,6.8,2017
Warriors All-Stars,PS4,Tecmo Koei,Omega Force,100000,7,6.5,2017
Berserk and the Band of the Hawk,PS4,Tecmo Koei,Omega Force,160000,6.6,6.7,2017
Toukiden 2,PS4,Tecmo Koei,Omega Force,150000,7.7,7.6,2017
Attack on Titan,PS4,Tecmo Koei,Omega Force,500000,7.4,7,2017
Dynasty Warriors: Godseekers,PS4,Tecmo Koei,Omega Force,30000,7,6.6,2017
Samurai Warriors: Spirit of Sanada,PS4,Tecmo Koei,Omega Force,70000,7.4,6.8,2017
Job Simulator,PS4,Sony Interactive Entertainment,Owlchemy Labs,120000,7.1,7,2017
PlayerUnknown's Battlegrounds,XOne,Microsoft Studios,PUBG Corporation,,8.5,5,2017
Sonic Mania,XOne,Sega,PagodaWest Games,,8.3,8.2,2017
Sonic Mania,PS4,Sega,PagodaWest Games,310000,8.6,8.4,2017
Bulletstorm: Full Clip Edition,PS4,Gearbox Software,People Can Fly,130000,7.5,6.9,2017
Bulletstorm: Full Clip Edition,XOne,Gearbox Software,People Can Fly,,8.2,7.3,2017
Elex,XOne,THQ Nordic,Piranha Bytes,,6.2,6.4,2017
Elex,PS4,THQ Nordic,Piranha Bytes,230000,5.8,6.4,2017
NieR: Automata,PS4,Square Enix,PlatinumGames,1710000,8.8,8.9,2017
Super Lucky's Tale,XOne,Microsoft Studios,Playful Corp.,,6.5,6.9,2017
Yooka-Laylee,XOne,Sold Out,Playtonic Games,,7.3,9.3,2017
Gran Turismo Sport,PS4,Sony Interactive Entertainment,Polyphony Digital,3770000,7.5,6,2017
Yonder: The Cloud Catcher Chronicles,PS4,CokeM Interactive,Prideful Sloth,40000,6.4,7.7,2017
Sniper Elite 4,PS4,Rebellion Developments,Rebellion Developments,550000,7.7,6.9,2017
Sniper Elite 4,XOne,Rebellion Developments,Rebellion Developments,,8.1,7.4,2017
PaRappa the Rapper Remastered,PS4,Sony Interactive Entertainment,SIE Japan Studio,20000,6.1,5.3,2017
Knack 2,PS4,Sony Interactive Entertainment,SIE Japan Studio,470000,6.7,7.6,2017
Gravity Rush 2,PS4,Sony Interactive Entertainment,SIE Japan Studio,350000,8,8.1,2017
MLB The Show 17,PS4,Sony Interactive Entertainment,SIE San Diego Studio,1160000,8.5,6.9,2017
Yakuza Kiwami,PS4,Sega,Sega,450000,8,8.1,2017
Call of Duty: WWII,XOne,Activision,Sledgehammer Games,,8,4,2017
Call of Duty: WWII,PS4,Activision,Sledgehammer Games,13400000,8,4.3,2017
Project CARS 2,XOne,Namco Bandai Games,Slightly Mad Studios,,8.4,5.6,2017
Project CARS 2,PS4,Namco Bandai Games,Slightly Mad Studios,550000,8.2,6.1,2017
Puyo Puyo Tetris,PS4,Sega,Sonic Team,100000,8.3,7.4,2017
Sonic Forces,PS4,Sega,Sonic Team,560000,5.7,6.9,2017
Sonic Forces,XOne,Sega,Sonic Team,,6.2,7.2,2017
Danganronpa Another Episode: Ultra Despair Girls,PS4,NIS America,Spike Chunsoft,40000,6.7,7,2017
Danganronpa 1-2 Reload,PS4,NIS America,Spike Chunsoft,120000,8.3,8.1,2017
Danganronpa V3: Killing Harmony,PS4,NIS America,Spike Chunsoft,250000,8.1,7.9,2017
Troll and I,PS4,Maximum Games,Spiral House,30000,3.9,4.6,2017
Final Fantasy XIV: Stormblood,PS4,Square Enix,Square Enix,170000,8.9,8.6,2017
Final Fantasy XII: The Zodiac Age,PS4,Square Enix,Square Enix,1100000,8.6,8.4,2017
Carmageddon: Max Damage,XOne,Stainless Games,Stainless Games,20000,5.2,7.2,2017
ARK: Survival Evolved,PS4,Studio Wildcard,Studio Wildcard,810000,6.9,4.4,2017
Cuphead,XOne,StudioMDHR,StudioMDHR,,8.6,8.5,2017
Hidden Agenda,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,590000,6.6,6.6,2017
LEGO City Undercover,XOne,Warner Bros. Interactive Entertainment,TT Fusion,,7.7,6.8,2017
LEGO City Undercover,PS4,Warner Bros. Interactive Entertainment,TT Fusion,750000,8,7.4,2017
The Evil Within 2,PS4,Bethesda Softworks,Tango Gameworks,1050000,7.6,8.5,2017
The Evil Within 2,XOne,Bethesda Softworks,Tango Gameworks,,8.2,9.1,2017
Little Nightmares,PS4,Namco Bandai Games,Tarsier Studios,390000,7.8,7.9,2017
Little Nightmares,XOne,Namco Bandai Games,Tarsier Studios,,8.3,7.7,2017
Road Rage,PS4,Maximum Games,Team 6 Games Studio,30000,2.6,2.3,2017
L.A. Noire,PS4,Rockstar Games,Team Bondi,600000,7.6,7.9,2017
L.A. Noire,XOne,Rockstar Games,Team Bondi,,7.7,7.8,2017
Nioh,PS4,Sony Interactive Entertainment,Team Ninja,1030000,8.8,8.5,2017
The Escapists 2,XOne,Sold Out,Team17 Software,,7.7,5.8,2017
The Escapists 2,PS4,Sold Out,Team17 Software,240000,7.6,7,2017
The Sexy Brutale,PS4,Badland Games,Tequila Works,80000,7.7,7.6,2017
RiME,PS4,Grey Box,Tequila Works,110000,7.1,7.7,2017
Rogue Trooper Redux,XOne,Rebellion,TickTock Games,,6.1,7.5,2017
Rogue Trooper Redux,PS4,Rebellion,TickTock Games,20000,5.9,6.5,2017
Undertale,PS4,Toby Fox,Toby Fox,10000,9.2,6.6,2017
LEGO Worlds,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1140000,6.6,6.6,2017
LEGO Worlds,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,6.9,6.4,2017
LEGO Marvel Super Heroes 2,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1110000,7.3,7.1,2017
LEGO Marvel Super Heroes 2,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,7.4,7.4,2017
AereA,PS4,Soedesco,Triangle Studios,30000,4.6,1.8,2017
Killing Floor 2,XOne,Tripwire Interactive,Tripwire Interactive,,7.9,6.5,2017
Forza Motorsport 7,XOne,Microsoft Studios,Turn 10 Studios,,8.9,5.9,2017
For Honor,XOne,Ubisoft,Ubisoft Montreal,,7.9,5.9,2017
For Honor,PS4,Ubisoft,Ubisoft Montreal,1750000,7.8,6.1,2017
Assassin's Creed Origins,PS4,Ubisoft,Ubisoft Montreal,4060000,8.1,7.2,2017
Assassin's Creed Origins,XOne,Ubisoft,Ubisoft Montreal,,8.5,7.5,2017
Just Dance 2018,PS4,Ubisoft,Ubisoft Paris,300000,7.5,5.9,2017
South Park: The Fractured But Whole,PS4,Ubisoft,Ubisoft San Francisco,1430000,7.9,7.7,2017
South Park: The Fractured But Whole,XOne,Ubisoft,Ubisoft San Francisco,,8.4,7.7,2017
Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,4830000,8,8.5,2017
NBA 2K18,PS4,2K Sports,Visual Concepts,3340000,8.1,1.7,2017
NBA 2K18,XOne,2K Sports,Visual Concepts,,7.7,1.5,2017
Agents of Mayhem,XOne,Deep Silver,Volition Inc.,,7.3,6.4,2017
Agents of Mayhem,PS4,Deep Silver,Volition Inc.,200000,6.2,6.6,2017
Tricky Towers,PS4,Soedesco,WeirdBeard,20000,7.2,7,2017
Starblood Arena,PS4,Sony Interactive Entertainment,WhiteMoon Dreams,50000,6.8,7.3,2017
Knowledge is Power,PS4,Sony Interactive Entertainment,Wish Studio,610000,7.1,7.5,2017
That's You!,PS4,Sony Interactive Entertainment,Wish Studio,40000,7,7.1,2017
WWE 2K18,XOne,2K Sports,Yuke's,,6.7,4.8,2017
WWE 2K18,PS4,2K Sports,Yuke's,1330000,6.6,5.6,2017
The Elder Scrolls Online: Morrowind,XOne,Bethesda Softworks,ZeniMax Online Studios,,7.6,5.6,2017
