Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
10411,Resident Evil: Revelations 2,XOne,Capcom,Capcom,7.5,7.5,0.14,2015
10419,The Crew: Wild Run,PS4,Ubisoft,Ivory Tower,7.3,6.4,0.14,2015
10593,Samurai Warriors 4-II,PS4,Tecmo Koei,Omega Force,7.3,6.9,0.13,2015
10613,The Golf Club,PS4,Maximum Games,HB Studios,6.6,6.4,0.13,2015
10833,NBA Live 16,XOne,EA Sports,EA Tiburon,6,5.6,0.13,2015
11305,Pro Evolution Soccer 2016,XOne,Konami Digital Entertainment,PES Productions,8.5,6.1,0.12,2015
11324,God Eater 2: Rage Burst,PS4,Namco Bandai Games,Namco Bandai Games,6.9,7.5,0.12,2015
11389,Zombie Army Trilogy,XOne,Rebellion Developments,Rebellion Developments,6.2,6.9,0.12,2015
11745,Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,6.4,7.4,0.11,2015
12330,Ultra Street Fighter IV,PS4,Sony Computer Entertainment,Capcom,7.1,6.2,0.1,2015
12544,Grand Ages: Medieval,PS4,Kalypso Media,Gaming Minds Studios,6.4,6.5,0.09,2015
12618,Toy Soldiers: War Chest,PS4,Ubisoft,Signal Studios,6.2,7.2,0.09,2015
12998,Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,6.4,7.4,0.08,2015
13068,Legend of Kay Anniversary,PS4,Nordic Games,Neon Studios,6.2,5.9,0.08,2015
13138,Darksiders II: Deathinitive Edition,XOne,Nordic Games,Gunfire Games,7.5,7.1,0.08,2015
13241,Toy Soldiers: War Chest,XOne,Ubisoft,Signal Studios,6,8.3,0.08,2015
13402,Shovel Knight,XOne,Yacht Club Games,Yacht Club Games,8.6,7.7,0.08,2015
13434,The Golf Club,XOne,Maximum Games,HB Studios,6.4,5.3,0.07,2015
13579,The Book of Unwritten Tales 2,PS4,Nordic Games,KING Art Games,6.3,6.5,0.07,2015
13932,Legend of Kay Anniversary,PS4,Nordic Games,Nordic Games,6.2,5.9,0.07,2015
13939,Zombi,PS4,Ubisoft,Ubisoft Montpellier,7.5,5.8,0.07,2015
14228,MX vs. ATV Supercross Encore,PS4,Nordic Games,Rainbow Studios,4.2,3.8,0.06,2015
14364,Game of Thrones: A Telltale Games Series,PS4,Telltale Games,Telltale Games,6.9,6.5,0.06,2015
14817,Nobunaga's Ambition: Sphere of Influence,PS4,Tecmo Koei,Koei,8,7.5,0.05,2015
15131,Mighty No. 9,XOne,Eidos Interactive Ltd,Comcept,5.5,4.1,0.05,2015
15408,The Talos Principle,PS4,Nighthawk Interactive,Croteam,8.8,8.2,0.04,2015
15573,Axiom Verge,PS4,Thomas Happ Games,Thomas Happ Games,8.4,7.8,0.04,2015
15721,Assassin's Creed Chronicles: China,PS4,Ubisoft,Climax Studios,6.9,6,0.04,2015
16804,God of War III Remastered,PS4,Sony Computer Entertainment Europe,SCEA Santa Monica Studio,8.1,8,0.03,2015
16982,Omega Quintet,PS4,Compile Heart,Compile Heart,5.8,7,0.03,2015
17288,Broken Sword 5: The Serpent's Curse,XOne,Revolution Software,Revolution Software,7.7,7,0.02,2015
18982,ScreamRide,XOne,Microsoft Studios,Frontier Developments,7.1,4.8,0.01,2015
24,Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,9.7,8.4,19.39,2014
82,The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014
123,Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,9,9,8.72,2014
145,Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014
186,FIFA 15,PS4,EA Sports,EA Canada,8.1,5.7,6.32,2014
209,Destiny,PS4,Activision,Bungie,7.6,6.1,5.76,2014
245,Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,8.3,5.5,5.22,2014
338,Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,8,6.4,4.32,2014
379,Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,8.4,7.7,4.06,2014
483,Halo: The Master Chief Collection,XOne,Microsoft Studios,343 Industries,8.5,7.4,3.44,2014
490,Destiny,XOne,Activision,Bungie,8.3,5.5,3.41,2014
555,Titanfall,XOne,Electronic Arts,Respawn Entertainment,8.9,6.7,3.11,2014
650,Diablo III: Ultimate Evil Edition,PS4,Blizzard Entertainment,Blizzard Entertainment,9,7.9,2.82,2014
772,NBA 2K15,PS4,2K Sports,Visual Concepts,8.3,6.9,2.49,2014
849,Dragon Age: Inquisition,PS4,Electronic Arts,BioWare Edmonton,8.9,7.4,2.34,2014
895,Madden NFL 15,PS4,EA Sports,EA Tiburon,8.1,6.1,2.25,2014
928,FIFA 15,XOne,EA Sports,EA Canada,7.9,5.4,2.19,2014
1000,LittleBigPlanet 3,PS4,Sony Computer Entertainment,Sumo Digital,7.9,7.2,2.06,2014
1051,Driveclub,PS4,Sony Computer Entertainment,Evolution Studios,7.2,6.2,2,2014
1152,The Evil Within,PS4,Bethesda Softworks,Tango Gameworks,7.7,7.5,1.86,2014
1203,The Crew,PS4,Ubisoft,Ubisoft Reflections,6.1,5.3,1.79,2014
1245,NBA 2K15,XOne,2K Sports,Visual Concepts,8.2,6.2,1.74,2014
1309,Far Cry 4,XOne,Ubisoft,Ubisoft Montreal,8.5,7.6,1.68,2014
1350,Watch Dogs,XOne,Ubisoft,Ubisoft Montreal,7.8,5.9,1.64,2014
1381,Wolfenstein: The New Order,PS4,Bethesda Softworks,MachineGames,7.9,8.1,1.61,2014
1384,Madden NFL 15,XOne,EA Sports,EA Tiburon,8,6.2,1.6,2014
1490,Tomb Raider: Definitive Edition,PS4,Square Enix,Crystal Dynamics,9.1,8.1,1.51,2014
1506,Rayman Legends,PS4,Ubisoft,Ubisoft Montpellier,9.5,8.4,1.5,2014
1569,Forza Horizon 2,XOne,Microsoft Studios,Playground Games,8.6,8.3,1.46,2014
1967,Metal Gear Solid V: Ground Zeroes,PS4,Konami Digital Entertainment,Kojima Productions,7.6,6.3,1.2,2014
2039,Sunset Overdrive,XOne,Microsoft Studios,Insomniac Games,8,7.8,1.16,2014
2042,WWE 2K15,PS4,2K Sports,Visual Concepts,6.2,5.2,1.16,2014
2169,EA Sports UFC,PS4,Electronic Arts,EA Canada,7,6.1,1.11,2014
2228,Alien: Isolation,PS4,Sega,Creative Assembly,7.9,8.2,1.09,2014
2353,Diablo III: Ultimate Evil Edition,XOne,Blizzard Entertainment,Blizzard Entertainment,8.6,7.8,1.04,2014
2500,Dragon Age: Inquisition,XOne,Electronic Arts,BioWare Edmonton,8.5,7,0.99,2014
2857,Thief,PS4,Square Enix,Eidos Montreal,6.7,6.2,0.85,2014
3151,Pro Evolution Soccer 2015,PS4,Konami Digital Entertainment,PES Productions,8.2,7.1,0.76,2014
3187,Wolfenstein: The New Order,XOne,Bethesda Softworks,MachineGames,7.8,7.8,0.75,2014
3234,Sniper Elite III,PS4,505 Games,Rebellion Developments,6.7,6.9,0.74,2014
3340,The Crew,XOne,Ubisoft,Ubisoft Reflections,6.4,5.7,0.71,2014
3350,The LEGO Movie Videogame,PS4,Warner Bros. Interactive Entertainment,TT Fusion,6,7.1,0.71,2014
3373,Plants vs Zombies: Garden Warfare,XOne,Electronic Arts,PopCap Games,7.6,7.5,0.71,2014
3440,The Evil Within,XOne,Bethesda Softworks,Tango Gameworks,7.9,7.4,0.69,2014
3585,Plants vs Zombies: Garden Warfare,PS4,Electronic Arts,PopCap Games,7.5,7.5,0.66,2014
3594,Tomb Raider: Definitive Edition,XOne,Square Enix,Crystal Dynamics,9.1,7.7,0.66,2014
3605,The LEGO Movie Videogame,XOne,Warner Bros. Interactive Entertainment,TT Fusion,6.5,6.7,0.65,2014
3743,Kinect Sports Rivals,XOne,Microsoft Studios,Rare Ltd.,7.3,5,0.62,2014
3753,LEGO The Hobbit,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,7.2,6.6,0.62,2014
3783,NHL 15,PS4,EA Sports,EA Canada,6,3.7,0.62,2014
3812,WWE 2K15,XOne,2K Sports,Visual Concepts,5.6,5.5,0.61,2014
4196,Lords of the Fallen,PS4,Namco Bandai Games,DECK13 Interactive,6.8,6.5,0.55,2014
4288,Just Dance 2015,XOne,Ubisoft,Ubisoft Paris,8.1,7.4,0.54,2014
4440,Alien: Isolation,XOne,Sega,Creative Assembly,7.8,7.9,0.52,2014
4752,Thief,XOne,Square Enix,Eidos Montreal,6.9,5.9,0.48,2014
4771,EA Sports UFC,XOne,Electronic Arts,EA Canada,7,6.2,0.48,2014
5080,Sleeping Dogs: Definitive Edition,PS4,Square Enix,United Front Games,7.7,7.3,0.44,2014
5168,Trials Fusion,PS4,Ubisoft,Unknown,8.2,7.1,0.43,2014
5226,Sniper Elite III,XOne,505 Games,Rebellion Developments,6.3,6.6,0.43,2014
5285,NHL 15,XOne,EA Sports,EA Canada,5.9,3.1,0.42,2014
5430,Just Dance 2015,PS4,Ubisoft,Ubisoft Paris,7.2,5.7,0.41,2014
6271,Murdered: Soul Suspect,PS4,Square Enix,Airtight Games,5.9,6.9,0.33,2014
6903,Sherlock Holmes: Crimes & Punishments,PS4,Focus Home Interactive,Frogwares,7.3,7.2,0.29,2014
7106,LEGO The Hobbit,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,6.9,6.9,0.27,2014
7111,Metal Gear Solid V: Ground Zeroes,XOne,Konami Digital Entertainment,Kojima Productions,7.7,5.5,0.27,2014
7606,Samurai Warriors 4,PS4,Tecmo Koei,Omega Force,7.6,7.6,0.25,2014
7622,NBA Live 15,PS4,Electronic Arts,EA Tiburon,5.9,5.6,0.25,2014
8127,NBA Live 15,XOne,Electronic Arts,EA Tiburon,5.3,6.8,0.22,2014
8228,Lords of the Fallen,XOne,Namco Bandai Games,DECK13 Interactive,7.1,6.6,0.22,2014
8656,Sleeping Dogs: Definitive Edition,XOne,Square Enix,United Front Games,7.5,7.8,0.2,2014
8732,MotoGP 14,PS4,Namco Bandai Games,Milestone S.r.l.,7.3,6.5,0.2,2014
8934,Fantasia: Music Evolved,XOne,Disney Interactive Studios,Harmonix Music Systems,7.7,7.4,0.19,2014
9284,Project Spark,XOne,Microsoft Studios,Team Dakota,7.3,6.9,0.17,2014
9537,Murdered: Soul Suspect,XOne,Square Enix,Airtight Games,5.1,7.1,0.17,2014
9963,Pro Evolution Soccer 2015,XOne,Konami Digital Entertainment,PES Productions,7.9,6.8,0.15,2014
10863,Akiba's Trip: Undead & Undressed,PS4,Xseed Games,Acquire,5.7,6.9,0.13,2014
12834,Lara Croft and the Temple of Osiris,PS4,Square Enix,Crystal Dynamics,7.4,6.6,0.09,2014
13154,Sherlock Holmes: Crimes & Punishments,XOne,Focus Home Interactive,Frogwares,7.2,6.7,0.08,2014
14840,Child of Light,PS4,Ubisoft,Ubisoft Montreal,9.3,8,0.05,2014
15765,Tour de France 2014,PS4,Focus Home Interactive,Cyanide Studio,5.3,5.3,0.04,2014
19463,Teslagrad,PS4,Rain Games,Rain Games,7.8,6.7,0.01,2014
360,Call of Duty: Ghosts,PS4,Activision,Infinity Ward,7.5,3.8,4.17,2013
403,Battlefield 4,PS4,Electronic Arts,EA DICE,8.3,7,3.94,2013
486,FIFA 14,PS4,EA Sports,EA Canada,9.1,6.3,3.43,2013
537,Assassin's Creed IV: Black Flag,PS4,Ubisoft,Ubisoft Montreal,8.3,7.9,3.19,2013
565,Call of Duty: Ghosts,XOne,Activision,Infinity Ward,7.5,4.3,3.07,2013
694,Dead Rising 3,XOne,Microsoft Studios,Capcom,8.3,6.9,2.7,2013
810,Forza Motorsport 5,XOne,Microsoft Studios,Turn 10 Studios,8.8,6,2.4,2013
976,Killzone: Shadow Fall,PS4,Sony Computer Entertainment,Guerrilla Games,9,6.8,2.1,2013
1452,NBA 2K14,PS4,2K Sports,Visual Concepts,8.9,6.5,1.54,2013
1566,Ryse: Son of Rome,XOne,Microsoft Studios,Crytek,6.8,6.2,1.47,2013
1783,FIFA 14,XOne,EA Sports,EA Canada,9.1,5.8,1.31,2013
2449,Knack,PS4,Sony Computer Entertainment,SCE Japan Studio,8.4,6.5,1,2013
2563,Madden NFL 25,PS4,EA Sports,EA Tiburon,7.4,5.2,0.96,2013
2617,NBA 2K14,XOne,2K Sports,Visual Concepts,8.9,5.7,0.94,2013
2909,Madden NFL 25,XOne,EA Sports,EA Tiburon,7.1,5.8,0.83,2013
7108,NBA Live 14,PS4,EA Sports,EA Tiburon,4.3,2.6,0.27,2013
7851,NBA Live 14,XOne,EA Sports,EA Tiburon,4.3,3.1,0.24,2013
9465,Fighter Within,XOne,Ubisoft,Daoka,2.7,2.8,0.17,2013
9596,Putty Squad,PS4,System 3,System 3,3.8,3,0.16,2013
